11:0 12:9 21:0 22:0 31:6 32:5 41:0 51:1 61:4
42:4 52:0 62:2 71:9 72:0 81:0 82:6 91:5 92:3
13:0 14:5 23:0 24:0 25:8 35:2 44:0 45:0 54:0
15:0 16:6 17:3 18:0 19:0 26:0 27:0 28:4 29:2
36:8 37:0 38:7 39:4 46:2 48:0 49:0 56:0 66:1   
47:1 57:0 58:0 67:0 68:0 76:3 77:0 86:0 87:8
59:7 69:0 78:8 79:0 88:0 89:0 97:0 98:0 99:6
55:0 65:3 75:0 84:0 85:0 93:0 94:9 95:0 96:7
33:3 34:0 43:0 53:6 63:0 64:0 73:0 74:4 83:9

11:2 21:3 31:0 32:0 41:0 42:1 51:8 52:0 62:5
12:7 13:6 14:0 15:1 16:0 22:2 23:0 24:0 25:4
17:5 18:0 19:4 26:6 27:1 28:0 29:0 38:2 39:3
33:4 34:8 35:0 36:1 37:0 45:2 55:0 56:7 57:0
43:8 44:0 53:0 54:2 64:1 65:0 66:3 67:4 75:0
46:0 47:3 48:0 49:5 58:1 59:0 68:7 69:0 79:2
61:9 63:2 71:1 72:0 73:7 81:0 82:6 91:0 92:0
74:4 76:5 83:0 84:0 85:0 86:2 93:1 94:0 95:7
77:8 78:6 87:0 88:0 89:1 96:4 97:0 98:0 99:9
